SEASON,#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1981-1982,1,George Gervin,79,35.7,32.3,12.6,25.2,50,0.1,0.5,27.8,7,8.1,86.4,1.7,3.2,5,2.4,1,0.6,2.7,24.8
1981-1982,2,Moses Malone,81,42,31.1,11.7,22.5,51.9,0,0.1,0,7.8,10.2,76.2,6.9,7.8,14.7,1.8,0.9,1.5,3.6,33.1
1981-1982,3,Adrian Dantley,81,39.8,30.3,11.2,19.6,57,0,0,33.3,8,10.1,79.2,2.9,3.5,6.3,4,1.2,0.2,3.7,27.8
1981-1982,4,Alex English,82,36.8,25.4,10.4,18.9,55.1,0,0.1,0,4.5,5.4,84,2.6,4.2,6.8,5.3,1.1,1.5,3.2,27.4
1981-1982,5,Julius Erving,81,34.4,24.4,9.6,17.6,54.6,0,0.1,27.3,5.1,6.7,76.3,2.7,4.2,6.9,3.9,2,1.7,2.6,26.7
1981-1982,6,Kareem Abdul-Jabbar,76,35.2,23.9,9.9,17.1,57.9,0,0,0,4.1,5.8,70.6,2.3,6.4,8.7,3,0.8,2.7,3,27.2
1981-1982,7,Gus Williams,80,36,23.4,9.7,19.9,48.6,0.1,0.5,22.5,4,5.5,73.4,1.2,1.9,3.1,6.9,2.2,0.5,2.5,21.8
1981-1982,8,Bernard King,79,36.2,23.2,9.4,16.5,56.6,0,0.1,20,4.5,6.3,70.5,1.8,4.2,5.9,3.6,1,0.3,3.4,21.6
1981-1982,9,World Free,78,35.8,22.9,8.3,18.6,44.8,0.1,0.7,17.9,6.1,8.3,74,1.5,1.7,3.2,5.4,0.9,0.1,2.7,17.4
1981-1982,10,Larry Bird,77,38,22.9,9.2,18.4,50.3,0.1,0.7,21.2,4.3,4.9,86.3,2.6,8.3,10.9,5.8,1.9,0.9,3.3,29.2
1981-1982,11,Dan Issel,81,30.5,22.9,8,15.3,52.7,0,0.1,66.7,6.7,8.1,83.4,2.1,5.4,7.5,2.2,0.8,0.7,2.1,23.4
1981-1982,12,John Long,69,32,21.9,9.2,18.8,49.2,0,0.2,13.3,3.4,4,86.5,1.4,2.3,3.7,2.1,0.9,0.4,2.4,16.6
1981-1982,13,Kelly Tripucka,82,37.5,21.6,7.8,15.6,49.6,0.1,0.3,22.7,6,7.6,79.7,2.7,2.7,5.4,3.3,1.1,0.2,3.4,18.8
1981-1982,14,Kiki Vandeweghe,82,33.8,21.5,8.6,15.4,56,0,0.2,7.7,4.2,4.9,85.7,1.8,3.8,5.6,3,0.6,0.4,2.3,21.3
1981-1982,15,Jay Vincent,81,32.4,21.4,8.9,17.9,49.7,0,0,25,3.6,5,71.6,2.2,4.7,7,2.2,1.1,0.3,2.4,19.1
1981-1982,16,Jamaal Wilkes,82,35.4,21.1,9.1,17.3,52.5,0,0,0,3,4.1,73.2,1.9,2.9,4.8,1.7,1.1,0.3,2,17.8
1981-1982,17,Mychal Thompson,79,39.6,20.8,8.6,16.5,52.3,0,0,0,3.5,5.6,62.8,3.3,8.4,11.7,4,0.9,1.4,3.1,25.6
1981-1982,19,Ray Williams,82,33.3,20.4,7.8,16.9,46.2,0.1,0.7,16.7,4.7,5.7,83.2,1.4,2.5,4,6,2.4,0.5,3.5,19.7
1981-1982,20,Robert Parish,80,31.7,19.9,8.4,15.4,54.2,0,0,0,3.2,4.4,71,3.6,7.2,10.8,1.8,0.9,2.4,2.8,24.6
1981-1982,21,Darrell Griffith,80,32.5,19.8,8.6,17.9,48.2,0.2,0.7,28.8,2.4,3.4,69.7,1.6,2.2,3.8,2.3,1.2,0.4,2.4,14.9
1981-1982,22,Sidney Moncrief,80,37.3,19.8,7,13.3,52.3,0,0.2,7.1,5.9,7.2,81.7,2.8,3.9,6.7,4.8,1.7,0.3,2.6,23
1981-1982,23,Jack Sikma,82,37.2,19.6,7.1,14.8,47.9,0,0.2,15.4,5.5,6.4,85.5,2.7,9.9,12.7,3.4,1.2,1.3,2.6,27
1981-1982,24,Dennis Johnson,80,36.7,19.5,7.2,15.4,47,0.1,0.5,19,5,6.2,80.6,1.8,3.4,5.1,4.6,1.3,0.7,2.9,19
1981-1982,25,Truck Robinson,74,37.1,19.1,7.8,15.2,51.3,0,0,100,3.4,5,68.7,2.7,7,9.7,2.4,0.6,0.4,2.7,20.5
1981-1982,26,Jim Paxson,82,33.6,18.9,8.1,15.4,52.6,0.1,0.4,22.9,2.7,3.5,76.7,0.9,1.8,2.7,3.4,1.6,0.1,1.8,16.9
1981-1982,27,Ron Brewer,72,32.2,18.8,7.9,16.6,47.7,0.1,0.4,25.8,2.9,3.6,81.2,0.8,1.5,2.2,2.6,1.1,0.4,1.7,14.2
1981-1982,28,Greg Ballard,79,37.3,18.8,7.9,16.5,47.5,0.1,0.3,40.9,3,3.6,83,1.7,6.3,8,3.2,1.7,0.3,1.5,21.2
1981-1982,29,Magic Johnson,78,38.3,18.6,7.1,13.3,53.7,0.1,0.4,20.7,4.2,5.6,76,3.2,6.4,9.6,9.5,2.7,0.4,3.7,29.7
1981-1982,30,John Drew,70,29.1,18.5,6.6,13.7,48.6,0.1,0.2,33.3,5.2,7,74.1,2.4,2.9,5.4,1.4,0.9,0,2.5,14.8
1981-1982,31,Artis Gilmore,82,34.1,18.5,6.7,10.2,65.2,0,0,100,5.2,6.7,76.8,2.7,7.5,10.2,1.7,0.6,2.7,2.8,25.7
1981-1982,32,Reggie Theus,82,34.6,18.4,6.8,14.6,46.9,0.3,1.2,25,4.4,5.5,80.8,1.4,2.4,3.8,5.8,1.1,0.2,3.4,17.1
1981-1982,33,Micheal Ray Richardson,82,37.1,17.9,7.5,16.4,46.1,0.2,1.2,18.8,2.6,3.7,70,2.2,4.7,6.9,7,2.6,0.5,3.5,21.4
1981-1982,34,Calvin Natt,75,34.7,17.7,6.9,11.9,57.6,0,0.1,25,3.9,5.2,75,2.6,5.6,8.2,2,0.8,0.5,1.9,20.9
1981-1982,35,Norm Nixon,82,36.9,17.6,7.7,15.5,49.3,0,0.1,25,2.2,2.7,80.8,0.5,1.7,2.1,8,1.6,0.1,2.9,18
1981-1982,36,Tom Chambers,81,33.1,17.2,6.8,13,52.5,0,0,0,3.5,5.7,62,2.6,4.3,6.9,1.8,0.7,0.6,2.7,16.1
1981-1982,37,Johnny Davis,82,32.5,17,6.6,14.1,46.7,0.1,0.3,18.5,3.8,4.8,79.9,0.9,1.3,2.2,4.2,0.9,0.1,2.3,13.7
1981-1982,38,Isiah Thomas,72,33.8,17,6.3,14.8,42.4,0.2,0.8,28.8,4.2,6,70.4,0.8,2.1,2.9,7.8,2.1,0.2,4.2,15.6
1981-1982,39,Joe Barry Carroll,76,34.6,17,6.9,13.4,51.9,0,0,0,3.1,4.3,72.8,2.8,5.6,8.3,0.8,0.8,1.7,2.7,18.3
1981-1982,40,James Edwards,77,33,16.7,6.9,13.4,51.1,0,0.1,0,3,4.4,68.4,2.5,5.1,7.5,1.6,0.3,1.5,2.1,17.6
1981-1982,41,Andrew Toney,77,24.8,16.5,6.6,12.7,52.2,0.3,0.8,42.4,2.9,4,74.2,0.6,1.2,1.7,3.7,0.8,0.2,2.8,13.1
1981-1982,42,Elvin Hayes,82,37,16.1,6.3,13.4,47.2,0,0.1,0,3.4,5.1,66.4,3.3,5.9,9.1,1.8,0.8,1.3,2.5,17.6
1981-1982,43,Kelvin Ransey,78,31,16.1,6.5,14,46.1,0,0.5,7.9,3.1,4.1,76.1,0.5,1.9,2.4,7.1,1.2,0.1,2.9,15.4
1981-1982,44,Maurice Lucas,80,33.4,15.8,6.3,12.5,50.4,0,0,0,3.2,4.4,72.5,3.4,7.9,11.3,2.2,0.9,0.9,2.2,21.5
1981-1982,46,Michael Brooks,82,33.5,15.6,6.5,13,50.4,0,0.1,0,2.5,3.3,75.7,2.5,5.1,7.6,2.9,1.4,0.5,2.4,18.3
1981-1982,47,Buck Williams,82,34.5,15.5,6.3,10.7,58.2,0,0,0,3,4.7,62.4,4.2,8,12.3,1.3,1,1,2.9,21.9
1981-1982,48,Alvan Adams,79,30.3,15.1,6.4,13,49.4,0,0,0,2.3,2.9,78.1,1.7,5.7,7.4,4.5,1.4,1,2.5,19.8
1981-1982,49,Lonnie Shelton,81,32.9,14.9,6.3,12.9,48.6,0,0.1,0,2.3,3,78.3,2,4.3,6.3,3.1,1.2,0.5,2.5,16.3
1981-1982,50,Rickey Green,81,34.8,14.8,6.2,12.5,49.3,0,0.1,0,2.5,3.3,76.5,1,2,3,7.8,2.3,0.1,2.4,18.4
1981-1982,51,Cedric Maxwell,78,33.2,14.8,5.1,9.3,54.8,0,0,0,4.6,6.1,74.7,2.8,3.6,6.4,2.3,1,0.6,2.2,17.2
1981-1982,52,David Greenwood,82,35.5,14.6,5.9,12.4,47.3,0,0,0,2.9,3.5,82.5,2.3,7.2,9.6,3.2,0.9,1.1,2.2,20.1
1981-1982,53,Jeff Ruland,82,27,14.4,5.1,9.1,56.1,0,0,33.3,4.2,5.5,75.2,3.1,6.2,9.3,1.6,0.5,0.7,2.9,18.3
1981-1982,54,Bobby Jones,76,28.7,14.4,5.5,9.7,56.4,0,0,0,3.5,4.4,79,1.4,3.7,5.2,2.5,1.3,1.5,1.9,17.8
1981-1982,54,Purvis Short,76,23.4,14.4,6,12.3,48.8,0.1,0.4,21.4,2.3,2.9,80.1,1.6,1.9,3.5,2.8,0.9,0.1,1.6,13.2
1981-1982,56,Bill Cartwright,72,28.6,14.4,5.4,9.6,56.2,0,0,0,3.6,4.7,76.3,1.6,4.2,5.8,1.2,0.7,0.9,2.3,15.4
1981-1982,57,Kyle Macy,82,34.7,14.2,5.9,11.5,51.4,0.5,1.2,39,1.9,2.1,89.9,1,2.2,3.2,4.7,1.7,0.1,1.5,16.6
1981-1982,58,Campy Russell,77,30.6,13.9,5.3,11.1,47.8,0.3,0.7,43.9,3,3.8,77.6,1.1,1.9,3.1,3.7,1,0.2,2.5,12.6
1981-1982,59,Jerome Whitehead,72,30.8,13.8,5.6,10.1,55.9,0,0,0,2.6,3.3,76.3,3.2,6,9.2,1.4,0.7,0.6,2,18.6
1981-1982,60,Kevin McHale,82,28.4,13.6,5.7,10.7,53.1,0,0,0,2.3,3,75.4,2.3,4.5,6.8,1.1,0.4,2.3,1.7,16.7
1981-1982,61,Bob Lanier,74,26.8,13.5,5.5,9.9,55.8,0,0,0,2.5,3.3,75.2,1.2,4,5.2,3,1,0.8,2.2,16
1981-1982,62,Robert Reid,77,37.8,13.4,5.7,12.4,45.6,0,0.1,10,2.1,2.8,74.8,2.3,4.4,6.6,4.1,1.5,0.6,2,16.8
1981-1982,63,Kevin Grevey,71,30.5,13.3,5.3,12.1,43.9,0.4,1.2,34.1,2.3,2.7,85.5,0.8,1.9,2.7,2.1,0.6,0.3,1.4,10.6
1981-1982,64,Rolando Blackman,82,24.1,13.3,5.4,10.4,51.3,0,0,25,2.6,3.4,76.8,1.2,1.9,3.1,1.3,0.6,0.4,1.4,11.4
1981-1982,65,Spencer Haywood,76,27.4,13.3,5.2,10.9,47.6,0,0,0,2.9,3.4,84.2,1.9,3.7,5.6,0.8,0.6,0.9,2.3,12.6
1981-1982,66,Quinn Buckner,70,30.8,12.9,5.7,11.7,48.2,0.1,0.2,26.7,1.6,2.4,65.5,1.1,2.5,3.6,4.7,2.5,0,2.6,14.2
1981-1982,67,Mickey Johnson,76,25.4,12.9,4.9,10,49.1,0,0.1,14.3,3.1,3.8,80.1,1.8,4.2,6,2.8,0.9,0.6,2.5,14.9
1981-1982,68,Steve Johnson,78,22.3,12.8,5.1,8.3,61.3,0,0,0,2.7,4.2,64.2,1.9,3.9,5.9,1.2,0.5,1.1,2.5,14.3
1981-1982,69,Ernie Grunfeld,81,23.4,12.7,5.2,10.1,51.1,0,0.2,14.3,2.3,2.8,82.1,0.7,1.6,2.2,3.4,0.9,0.5,1.8,12.4
1981-1982,70,Kent Benson,75,32.9,12.5,5.4,10.7,50.5,0,0.1,27.3,1.7,2.1,80.4,2.9,5.8,8.7,2.1,0.9,1.3,2.1,17.7
1981-1982,71,Billy Knight,81,22.3,12.3,4.7,9.4,49.5,0.1,0.4,28.1,2.9,3.5,82.6,1.2,2,3.2,1.5,0.8,0.2,1.7,10.8
1981-1982,72,Rick Mahorn,80,33.3,12.2,5.2,10.2,50.7,0,0,0,1.9,2.9,63.2,1.9,6.9,8.8,1.9,0.7,1.7,2,17.2
1981-1982,73,Brad Davis,82,31.9,12.1,4.8,9.4,51.5,0.2,0.6,28.6,2.3,2.8,80.4,0.4,2.3,2.8,6.2,0.9,0.1,1.9,15
1981-1982,74,Kenny Carr,74,26,12.1,4.7,9.4,50.3,0,0.1,10,2.7,4.1,65.6,2.3,4.9,7.2,1.2,0.9,0.3,2.1,13.5
1981-1982,75,Reggie King,80,32.6,12.1,4.8,9.4,50.9,0,0,0,2.5,3.6,70.5,2,4.5,6.5,2.2,1.1,0.4,1.9,14.6
1981-1982,76,Albert King,76,22.3,12.1,5.1,10.7,48.2,0,0.2,23.1,1.8,2.3,77.8,1.4,2.7,4.1,1.9,0.8,0.5,2.4,11
1981-1982,77,Michael Cooper,76,28.9,11.9,5,9.8,51.7,0,0.2,11.8,1.8,2.3,81.3,1.1,2.4,3.5,3,1.6,0.8,2,13.8
1981-1982,78,Joe Bryant,75,26.5,11.8,4.5,9.3,48.6,0.1,0.4,26.7,2.6,3.3,78.5,1.1,2.6,3.7,2.5,1,0.4,2.4,11.4
1981-1982,79,Ricky Sobers,80,24.2,11.8,4.5,10,45.3,0.2,1,25,2.4,3.2,76.8,0.5,1.3,1.8,3.8,0.9,0.2,2.7,9.5
1981-1982,80,Ronnie Lester,75,30,11.6,4.4,8.8,50.1,0.1,0.1,50,2.8,3.4,81.3,1,1.8,2.8,4.8,1.1,0.2,2.5,13
1981-1982,81,Herb Williams,82,27.8,11.5,5,10.4,47.7,0,0.1,28.6,1.5,2.3,67,2.1,5.2,7.4,1.7,0.6,2.2,1.7,15.5
1981-1982,82,Louis Orr,80,24.4,11.5,4.5,9,49.7,0,0.1,12.5,2.5,3.2,79.9,1.6,2.6,4.1,1.7,0.7,0.3,1.7,11.4
1981-1982,84,Mike O'Koren,80,25.2,11.4,4.8,9.7,49.2,0.1,0.3,34.8,1.7,2.4,71.4,1.4,2.4,3.8,2.4,1,0.2,1.8,11.3
1981-1982,85,Fred Brown,82,21.8,11.2,4.8,10.5,45.5,0.3,0.9,32.5,1.4,1.6,86,0.5,1.2,1.7,2.9,0.8,0,1.2,9.6
1981-1982,86,Maurice Cheeks,79,31.6,11.2,4.5,8.6,52.1,0.1,0.3,27.3,2.2,2.8,77.7,0.6,2.5,3.1,8.4,2.6,0.4,2.3,18.7
